CardSet,CardNumber,Rarity,CMC,Rating,Guild,CardName,ManaCost,Type,Bomb,Removal,CombatTrick,Evasive,Counter,CardDraw,ManaFixing,ImageURL
RNA,1,Mythic,5,4.5,NULL,Angel of Grace,{3}{W}{W},Creature - Angel,1,0,1,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457145&type=card
RNA,2,Uncommon,4,3,NULL,Angelic Exaltation,{3}{W},Enchantment,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457146&type=card
RNA,3,Uncommon,6,1,NULL,Archway Angel,{5}{W},Creature - Angel,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457147&type=card
RNA,4,Common,1,2.5,NULL,Arrester's Zeal,{W},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457148&type=card
RNA,5,Common,3,3,NULL,Bring to Trial,{2}{W},Sorcery,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457149&type=card
RNA,6,Common,4,2.5,NULL,Civic Stalwart,{3}{W},Creature - Elephant Soldier,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457150&type=card
RNA,7,Common,2,2.5,NULL,Concordia Pegasus,{1}{W},Creature - Pegasus,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457151&type=card
RNA,8,Common,3,3,NULL,Expose to Daylight,{2}{W},Instant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457152&type=card
RNA,9,Uncommon,3,3,NULL,Forbidding Spirit,{1}{W}{W},Creature - Spirit Cleric,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457153&type=card
RNA,10,Common,3,1.5,NULL,Haazda Officer,{2}{W},Creature - Human Soldier,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457154&type=card
RNA,11,Rare,2,3.5,NULL,Hero of Precinct One,{1}{W},Creature - Human Warrior,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457155&type=card
RNA,12,Common,2,2.5,Orzhov,Impassioned Orator,{1}{W},Creature - Human Cleric,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457156&type=card
RNA,13,Common,2,2,NULL,Justiciar's Portal,{1}{W},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457157&type=card
RNA,14,Common,5,2,NULL,Knight of Sorrows,{4}{W},Creature - Human Knight,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457158&type=card
RNA,15,Rare,5,4,NULL,Lumbering Battlement,{4}{W},Creature - Beast,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457159&type=card
RNA,16,Uncommon,3,3.5,NULL,Ministrant of Obligation,{2}{W},Creature - Human Cleric,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457160&type=card
RNA,17,Common,2,1.5,NULL,Prowling Caracal,{1}{W},Creature - Cat,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457161&type=card
RNA,18,Uncommon,4,2.5,NULL,Rally to Battle,{3}{W},Instant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457162&type=card
RNA,19,Uncommon,1,3,NULL,Resolute Watchdog,{W},Creature - Hound,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457163&type=card
RNA,20,Uncommon,2,3.5,NULL,Sentinel's Mark,{1}{W},Enchantment - Aura,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457164&type=card
RNA,21,Uncommon,1,3,NULL,Sky Tether,{W},Enchantment - Aura,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457165&type=card
RNA,22,Rare,4,1,NULL,Smothering Tithe,{3}{W},Enchantment,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457166&type=card
RNA,23,Uncommon,4,3.5,NULL,Spirit of the Spires,{3}{W},Creature - Spirit,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457167&type=card
RNA,24,Common,2,3,NULL,Summary Judgment,{1}{W},Instant,0,1,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457168&type=card
RNA,25,Common,4,3,NULL,Syndicate Messenger,{3}{W},Creature - Bird,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457169&type=card
RNA,26,Common,3,1.5,NULL,Tenth District Veteran,{2}{W},Creature - Human Soldier,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457170&type=card
RNA,27,Rare,2,3,NULL,Tithe Taker,{1}{W},Creature - Human Soldier,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457171&type=card
RNA,28,Common,1,2,NULL,Twilight Panther,{W},Creature - Cat Spirit,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457172&type=card
RNA,29,Rare,3,3.5,NULL,Unbreakable Formation,{2}{W},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457173&type=card
RNA,30,Common,6,1.5,NULL,Watchful Giant,{5}{W},Creature - Giant Soldier,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457174&type=card
RNA,31,Common,3,3,NULL,Arrester's Admonition,{2}{U},Instant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457175&type=card
RNA,32,Rare,1,2.5,NULL,Benthic Biomancer,{U},Creature - Merfolk Wizard Mutant,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457176&type=card
RNA,33,Common,5,3.5,NULL,Chillbringer,{4}{U},Creature - Elemental,0,0,0,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457177&type=card
RNA,34,Common,3,1,NULL,Clear the Mind,{2}{U},Sorcery,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457178&type=card
RNA,35,Uncommon,3,3,NULL,Code of Constraint,{2}{U},Instant,0,0,1,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457179&type=card
RNA,36,Common,3,1,NULL,Coral Commando,{2}{U},Creature - Merfolk Warrior,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457180&type=card
RNA,37,Uncommon,2,2.5,NULL,Essence Capture,{U}{U},Instant,0,0,0,0,1,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457181&type=card
RNA,38,Uncommon,3,1,NULL,Eyes Everywhere,{2}{U},Enchantment,0,0,1,1,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457182&type=card
RNA,39,Common,2,3,NULL,Faerie Duelist,{1}{U},Creature - Faerie Rogue,0,0,0,0,0,0,0,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457183&type=card
